method,method_pretty,pert,method_family,DA200_PB,DA200_OpPert,DA200_PSI,DA200_min,DA200_max,DA50_PB,DA50_OpPert,DA50_PSI,DA50_min,DA50_max,DA20_PB,DA20_OpPert,DA20_PSI,DA20_min,DA20_max,Cos200_PB,Cos200_OpPert,Cos200_PSI,Cos200_min,Cos200_max,Cos_all_PB,Cos_all_OpPert,Cos_all_PSI,Cos_all_min,Cos_all_max,Pearson20_PB,Pearson20_OpPert,Pearson20_PSI,Pearson20_min,Pearson20_max,DEGrecall20_PB,DEGrecall20_OpPert,DEGrecall20_PSI,DEGrecall20_min,DEGrecall20_max,MSE20_PB,MSE20_OpPert,MSE20_PSI,MSE20_min,MSE20_max
norman19_cpa,CPA,CEBPB+CEBPE,PerturBench,1.0,0.755,0.245,0.755,1.0,1.0,0.64,0.36,0.64,1.0,1.0,0.6,0.4,0.6,1.0,0.9987287996188884,0.5105525433419256,0.4881762562769628,0.5105525433419256,0.9987287996188884,0.9954041596262907,0.4307851223425089,0.5646190372837818,0.4307851223425089,0.9954041596262907,0.9788540628557062,0.8014135893866565,0.17744047346904968,0.8014135893866565,0.9788540628557062,0.95,0.05,0.8999999999999999,0.05,0.95,0.018013063818216324,2.2277514934539795,2.209738429635763,0.018013063818216324,2.2277514934539795
norman19_cpa,CPA,CEBPB+MAPK1,PerturBench,1.0,0.735,0.265,0.735,1.0,1.0,0.64,0.36,0.64,1.0,1.0,0.55,0.44999999999999996,0.55,1.0,0.9985380307227706,0.44888356298397414,0.5496544677387964,0.44888356298397414,0.9985380307227706,0.9967625696042492,0.3836062226631828,0.6131563469410665,0.3836062226631828,0.9967625696042492,0.9844587002836118,0.7094521794920416,0.2750065207915702,0.7094521794920416,0.9844587002836118,1.0,0.05,0.95,0.05,1.0,0.019486024975776672,2.0754520893096924,2.0559660643339157,0.019486024975776672,2.0754520893096924
norman19_cpa,CPA,CEBPE+ETS2,PerturBench,1.0,0.715,0.28500000000000003,0.715,1.0,1.0,0.6,0.4,0.6,1.0,1.0,0.65,0.35,0.65,1.0,0.9984583932789526,0.4409556077028701,0.5575027855760825,0.4409556077028701,0.9984583932789526,0.996259711223544,0.3609476917091839,0.63531201951436,0.3609476917091839,0.996259711223544,0.9821488144781161,0.860684523672615,0.12146429080550103,0.860684523672615,0.9821488144781161,1.0,0.1,0.9,0.1,1.0,0.016328327357769012,2.683509349822998,2.667181022465229,0.016328327357769012,2.683509349822998
norman19_cpa,CPA,CEBPE+ZC3HAV1,PerturBench,1.0,0.61,0.39,0.61,1.0,1.0,0.56,0.43999999999999995,0.56,1.0,1.0,0.65,0.35,0.65,1.0,0.995973981496889,0.29191074536049516,0.7040632361363939,0.29191074536049516,0.995973981496889,0.9906988581180298,0.23645740779350852,0.7542414503245213,0.23645740779350852,0.9906988581180298,0.9846063924209824,0.7711504061463741,0.21345598627460827,0.7711504061463741,0.9846063924209824,0.9,0.05,0.85,0.05,0.9,0.01619010791182518,3.0081119537353516,2.9919218458235264,0.01619010791182518,3.0081119537353516
norman19_cpa,CPA,DUSP9+SNAI1,PerturBench,1.0,0.735,0.265,0.735,1.0,1.0,0.72,0.28,0.72,1.0,1.0,0.6,0.4,0.6,1.0,0.9942345967268095,0.516593886462879,0.4776407102639305,0.516593886462879,0.9942345967268095,0.9890891336310276,0.39767107966632215,0.5914180539647054,0.39767107966632215,0.9890891336310276,0.9490341146365668,0.5027142072197694,0.4463199074167974,0.5027142072197694,0.9490341146365668,1.0,0.15,0.85,0.15,1.0,0.028483476489782333,3.8474419116973877,3.8189584352076054,0.028483476489782333,3.8474419116973877
norman19_cpa,CPA,FEV+MAP7D1,PerturBench,1.0,0.495,0.505,0.495,1.0,1.0,0.34,0.6599999999999999,0.34,1.0,1.0,0.35,0.65,0.35,1.0,0.9986407830040521,0.03025074357366551,0.9683900394303866,0.03025074357366551,0.9986407830040521,0.9960490846659745,0.08962148886931229,0.9064275957966622,0.08962148886931229,0.9960490846659745,0.9865989534301061,0.37396014859473736,0.6126388048353687,0.37396014859473736,0.9865989534301061,1.0,0.1,0.9,0.1,1.0,0.014052105136215687,4.397790431976318,4.383738326840103,0.014052105136215687,4.397790431976318
norman19_cpa,CPA,FOSB+UBASH3B,PerturBench,1.0,0.765,0.235,0.765,1.0,1.0,0.62,0.38,0.62,1.0,1.0,0.35,0.65,0.35,1.0,0.998020129554227,0.4449999656375804,0.5530201639166467,0.4449999656375804,0.998020129554227,0.9956955472119008,0.3446112714784928,0.651084275733408,0.3446112714784928,0.9956955472119008,0.9837635545781376,0.055669076905963316,0.9280944776721742,0.055669076905963316,0.9837635545781376,0.95,0.05,0.8999999999999999,0.05,0.95,0.016423115506768227,3.8887743949890137,3.8723512794822454,0.016423115506768227,3.8887743949890137
norman19_cpa,CPA,FOXA3+FOXL2,PerturBench,1.0,0.74,0.26,0.74,1.0,1.0,0.64,0.36,0.64,1.0,1.0,0.7,0.30000000000000004,0.7,1.0,0.9987701986007349,0.5277277812020451,0.4710424173986898,0.5277277812020451,0.9987701986007349,0.9959370800194337,0.41134198843390224,0.5845950915855315,0.41134198843390224,0.9959370800194337,0.990251164372043,0.41115224352292123,0.5790989208491217,0.41115224352292123,0.990251164372043,0.95,0.15,0.7999999999999999,0.15,0.95,0.009079379960894585,3.924598217010498,3.9155188370496035,0.009079379960894585,3.924598217010498
norman19_cpa,CPA,FOXL2+POU3F2,PerturBench,1.0,0.75,0.25,0.75,1.0,1.0,0.64,0.36,0.64,1.0,1.0,0.5,0.5,0.5,1.0,0.999230811296344,0.44791083429046713,0.5513199770058768,0.44791083429046713,0.999230811296344,0.9972731437244647,0.3719989514581844,0.6252741922662803,0.3719989514581844,0.9972731437244647,0.9900742872766922,0.25715792017850164,0.7329163670981906,0.25715792017850164,0.9900742872766922,0.95,0.15,0.7999999999999999,0.15,0.95,0.006312319543212652,4.969018936157227,4.962706616614014,0.006312319543212652,4.969018936157227
norman19_cpa,CPA,MAP2K6+SPI1,PerturBench,1.0,0.77,0.22999999999999998,0.77,1.0,1.0,0.56,0.43999999999999995,0.56,1.0,1.0,0.5,0.5,0.5,1.0,0.9954377145781789,0.30610301206476964,0.6893347025134092,0.30610301206476964,0.9954377145781789,0.9910164442869227,0.31640432116246625,0.6746121231244564,0.31640432116246625,0.9910164442869227,0.9707583052983029,0.10878149647837798,0.8619768088199249,0.10878149647837798,0.9707583052983029,0.95,0.05,0.8999999999999999,0.05,0.95,0.03429907187819481,2.9488041400909424,2.9145050682127476,0.03429907187819481,2.9488041400909424
